Separable Verb,Frequency
sichum,18
sichauf,13
sichan,11
sichmit,10
nurein,10
ihnzu,9
sichzu,9
stehtauf,8
ermit,7
wirdein,6
wechseltzu,6
dumit,5
sieauf,5
warein,5
nurauf,5
springtauf,5
istein,4
wieein,4
siean,4
nichtzu,4
erauf,4
gehtzu,4
undein,4
schautzu,4
ihnan,4
sichein,4
wachauf,4
wiederein,4
ichein,4
direktauf,4
landetauf,4
esmit,4
sichaus,4
sichhin,3
undaus,3
schwenktnach,3
bistein,3
wiederauf,3
ihnlos,3
nochein,3
nichtmit,3
gehenweg,3
fliegtüber,3
undher,3
drehtum,3
schautnach,3
auchein,3
kommtauf,3
malan,3
hierauf,3
wiederan,3
sofortauf,3
dasein,3
dermit,2
erscheintein,2
renntmit,2
istlos,2
hataus,2
wirdaus,2
siedurch,2
ihnmit,2
deutetauf,2
wiederzurück,2
sievor,2
springtaus,2
sichnach,2
tauchtunter,2
undüber,2
nichtaus,2
wiederzu,2
undab,2
renntweg,2
siehtzu,2
duhin,2
dennhin,2
sichunter,2
undmit,2
dieüber,2
wirauf,2
ihnaus,2
komischan,2
ihmmit,2
wiederab,2
nochauf,2
kommzurück,2
durchein,2
nichtan,2
dichnach,2
umzu,2
zeigtauf,2
istzu,2
nunan,2
fliegenweiter,2
gehtein,2
stehenauf,2
renntzu,2
dichauf,2
wievor,2
aufzu,2
wachtauf,2
wasmit,2
dannauf,2
ihnauf,2
langsamzu,2
energischaus,1
esaus,1
gekonntab,1
nichtvor,1
nunbei,1
landenauf,1
schnellvorbei,1
gebeugtvor,1
nunum,1
erneutmit,1
gewinnenzu,1
sichrunter,1
konzentriertvor,1
nunmit,1
geradedurch,1
zusehrauf,1
stehtvor,1
tritthinein,1
demein,1
immerweiter,1
sehenzu,1
sitztauf,1
traurigzurück,1
gutzusammen,1
ervor,1
andershin,1
manüber,1
mehrmit,1
gezeigtmit,1
nichtüber,1
nunzu,1
nichtzurück,1
diesemaus,1
untenvorbei,1
schwebtauf,1
gehtweiter,1
sitztein,1
mehrweiter,1
obmit,1
nachdenklichnach,1
ebenfallsauf,1
ichauf,1
jetztvor,1
schwebtmit,1
wirklichan,1
springtüber,1
derweilvor,1
kommzu,1
letztendlichzu,1
dassein,1
stolpernzu,1
ebenfallsan,1
warstein,1
verurteilendan,1
einerzusammen,1
herausforderndzu,1
stehenvor,1
schlichtein,1
entstehtein,1
platztvor,1
sichvor,1
nichtauf,1
renntaus,1
nachan,1
fangennach,1
fangenan,1
jemandauf,1
renntgegen,1
alleszu,1
kleinenzu,1
wirklichvor,1
sitztvor,1
schwenktauf,1
ihmhin,1
energischum,1
euchmit,1
schautauf,1
lachendan,1
umgegen,1
ihrzu,1
ruhigzu,1
dochzu,1
mirein,1
obbei,1
nichtweg,1
geradeein,1
szu,1
stolzauf,1
sichweg,1
nichtum,1
versuchtein,1
langsamhin,1
angeberischzu,1
diedurch,1
schonaus,1
gehthinein,1
duvor,1
einfachmit,1
bisschenzu,1
kommtzu,1
geschicktum,1
aberaus,1
ihnüber,1
erfolgreichmit,1
kommaus,1
willzurück,1
wirdhin,1
diesenaus,1
ganzeaus,1
erscheintauf,1
fliegtlos,1
klettertzu,1
immergegen,1
unszu,1
verlassenum,1
eineshinein,1
fliegtzu,1
genugbei,1
dreizu,1
bewusstlosan,1
gehenauf,1
sieab,1
ewigvor,1
wartenvor,1
sindauf,1
niemalsauf,1
wachzu,1
steigtmit,1
dasauf,1
einmalweiter,1
greiftan,1
stimmenzu,1
gernein,1
hinterein,1
ihmnach,1
versuchtüber,1
tauichtauf,1
denlos,1
kommtzurück,1
etwasnach,1
weiterendurch,1
springtmit,1
aufgeregtzurück,1
reitetauf,1
werdeauf,1
hierbleibenum,1
gibtein,1
wirein,1
wirhin,1
niemalsbei,1
siezu,1
deran,1
eshin,1
andersaus,1
jedochein,1
eindeutigein,1
derzu,1
schonauf,1
inzwischenein,1
istauf,1
genervtvorbei,1
gehtmit,1
dannmit,1
schautaus,1
irgendwannzu,1
langean,1
einmalzurück,1
gesternein,1
damitunter,1
schnellzurück,1
elegantzu,1
obenaus,1
istvor,1
hiervor,1
istnach,1
jetztaus,1
gerneauf,1
manchmalein,1
sprichtmit,1
unsein,1
siehtaus,1
malvor,1
schonmalweiter,1
nichtsweiter,1
krabbeltzu,1
malnach,1
laufenauf,1
werdenbei,1
wartenauf,1
irdein,1
vorhinüber,1
toher,1
unsnach,1
duaus,1
nichtsüber,1
sowasan,1
unsauf,1
waran,1
laufendurch,1
mirbei,1
zuhauseweg,1
mehrzu,1
tollmit,1
sollein,1
immerhinein,1
seitüber,1
vornum,1
warenauf,1
jahrelangauf,1
kommtmit,1
erdurch,1
wirbeltmit,1
direktweiter,1
frustriertan,1
unabsichtlichmit,1
flitzan,1
leuchtetauf,1
ihmaus,1
greiftnach,1
wirdmit,1
sofortweg,1
schnellein,1
brichtdurch,1
welchesauf,1
entdecktein,1
jemalsein,1
erstmalnach,1
traurigweg,1
euchvor,1
gehenzu,1
hatteein,1
seidzu,1
wirdzu,1
manein,1
dennlos,1
erleichtertan,1
ihnweg,1
aufein,1
siehtan,1
ihnenaus,1
siemit,1
werdenmit,1
heutean,1
zeigtweiter,1
ziehtan,1
wiederrunter,1
wringtaus,1
sozu,1
soein,1
nichtsmit,1
undvor,1
tiefdurch,1
zieltmit,1
schwingtüber,1
wiederum,1
dasvor,1
okaybei,1
bestimmtein,1
gutauf,1
hinausauf,1
etwasan,1
anzu,1
gehenunter,1
liegtauf,1
havean,1
arean,1
offenbarein,1
dunach,1
welcheran,1
schwimmtweiter,1
sichzurück,1
sab,1
ruhigweiter,1
gernemit,1
gehenach,1
wohlan,1
schonan,1
gezieltauf,1
schiefan,1
bereitszu,1
wasüber,1
gehtlos,1
ihmüber,1
seelenruhigweiter,1
folglichum,1
wartetauf,1
ichmit,1
beginntmit,1
dasmit,1
gemeinsamdurch,1
unterwegsein,1
suchendzu,1
auchzusammen,1
alsein,1
ichum,1
halbunter,1
kletterauf,1
versuchtaus,1
kommenauf,1
sacktzusammen,1
sinktauf,1
schnellum,1
zwarmit,1
nahean,1
starbvor,1
erklingtein,1
zeigtnach,1
binein,1
waszu,1
renntvor,1
vermutlichvor,1
nurüber,1
ihmab,1
zusammenmit,1
gucktzu,1
euchauf,1
erein,1
schwerzu,1
dasselbemit,1
istmit,1
dirüber,1
kurzmit,1
dieauf,1
diesmit,1
vielzu,1
allemit,1
wiederaus,1
willmit,1
somitauf,1
feuertmit,1
diean,1
hintengegen,1
wirdan,1
allesauf,1
tiefein,1
niegegen,1
brenntein,1
vielüber,1
nettzu,1
zuerstgegen,1
langeher,1
irgendwasvor,1
ihmum,1
hatein,1
langsamnach,1
fahrenach,1
setzenauf,1
dichum,1
kommemit,1
diezu,1
fliegtauf,1
rennthinein,1
diegegen,1
einfachab,1
ihman,1
krachtgegen,1
undan,1
eran,1
woaus,1
heftigauf,1
sofortzu,1
renntweiter,1
undzu,1
spurtetweiter,1
hochüber,1
braustan,1
ihmzu,1
nochmit,1
fliegtmit,1
flieglos,1
weiterzu,1
derauf,1
obenauf,1
